"method","contrast","n_tests","n_global_FDR005","n_global_FDR010","top_signal","top_logFC","top_P_value","top_global_FDR","top_direction","interpretation_level"
"decoupleR_min15_max200","T2D_vs_ND",1746,0,0,"MIR371B_3P",-0.313542699281833,0.00036415996687568,0.25662951266826,"lower_in_T2D","negative"
"decoupleR_min15_max200","PD_vs_ND",1746,0,0,"MIR4712_3P",-0.294831925538164,0.00402539775393285,0.445410517282496,"lower_in_PD","negative"
"decoupleR_min15_max200","T2D_vs_PD",1746,0,0,"MIR410_5P",-0.322982177869592,0.000281236937105404,0.25662951266826,"lower_in_T2D","negative"
"decoupleR_min15_max300","T2D_vs_ND",1901,0,0,"MIR371B_3P",-0.313542699281833,0.00034647919686494,0.288203196125436,"lower_in_T2D","negative"
"decoupleR_min15_max300","PD_vs_ND",1901,0,0,"MIR4712_3P",-0.294831925538164,0.00403380120351646,0.489463154545838,"lower_in_PD","negative"
"decoupleR_min15_max300","T2D_vs_PD",1901,0,0,"MIR410_5P",-0.322982177869591,0.000251256325842721,0.288203196125436,"lower_in_T2D","negative"
"decoupleR_min15_max500","T2D_vs_ND",2052,0,0,"MIR371B_3P",-0.313542699281833,0.000312044961193785,0.299015065925165,"lower_in_T2D","negative"
"decoupleR_min15_max500","PD_vs_ND",2052,0,0,"MIR4712_3P",-0.294831925538163,0.00393829860138667,0.512600970632508,"lower_in_PD","negative"
"decoupleR_min15_max500","T2D_vs_PD",2052,0,0,"MIR410_5P",-0.32298217786959,0.000207557783559514,0.299015065925165,"lower_in_T2D","negative"
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_ND",431,4,4,"hsa-miR-365a-5p",-0.0557088884293209,6.89426437255237e-05,0.0375200967677988,"lower_in_T2D","significant_method_specific"
"miRSCAPE_Model1_GTEx_pancreas","PD_vs_ND",431,1,2,"hsa-miR-30d-3p",-0.0191558287105464,0.000116071451717862,0.0375200967677988,"lower_in_PD","significant_method_specific"
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_PD",431,1,1,"hsa-miR-365a-5p",-0.0656602140906792,3.0109406799449e-05,0.0375200967677988,"lower_in_T2D","significant_method_specific"
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND",1444,19,29,"hsa-mir-4464",0.0178018212318432,4.33692035906412e-07,0.000939405890183063,"higher_in_T2D","significant_method_specific"
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND",1444,0,1,"hsa-mir-548b",0.0141621872703023,0.000678778930605851,0.0723589389153393,"higher_in_PD","negative"
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD",1444,7,13,"hsa-mir-492",0.0718908166135108,4.52712415804527e-06,0.00403810660905141,"higher_in_T2D","significant_method_specific"
