"method","contrast","feature","logFC","P.Value","adj.P.Val","FDR_used","direction","is_primary_candidate","is_significant"
"decoupleR_min15_max200","PD_vs_ND","MIR649",-0.0956983953522537,0.42466435132686,0.947745343189582,0.82171846038053,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max200","T2D_vs_ND","MIR649",0.251598809399999,0.0311444250452892,0.466790013082738,0.652740414797052,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max200","T2D_vs_PD","MIR649",0.347297204752253,0.00828281588595675,0.40498084679122,0.533765160028493,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max300","PD_vs_ND","MIR649",-0.0956983953522537,0.426809731230182,0.928816132251259,0.819624036199025,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max300","T2D_vs_ND","MIR649",0.251598809399999,0.0320199100346328,0.510373967485633,0.699930159393607,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max300","T2D_vs_PD","MIR649",0.347297204752253,0.00863875253053705,0.444332074386955,0.59780596100231,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR649",-0.0956983953522523,0.428154271579142,0.906810274117114,0.808600872829448,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR15A_5P",-0.114335962876957,0.7095584469926,0.937860859225193,0.904425786994911,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR15B_5P",-0.109508752155109,0.720336229377544,0.937860859225193,0.908755293931167,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR16_5P",-0.10689380850333,0.729873918498612,0.937860859225193,0.910274412672163,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR6838_5P",-0.0957350280926157,0.734123446490227,0.938566840127786,0.912061339373125,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","PD_vs_ND","MIR195_5P",-0.102725540058255,0.741973604702679,0.942742933033992,0.916634459271462,"lower_in_PD",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR649",0.251598809399999,0.0326319086583023,0.559039781278055,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR16_5P",0.574814280706036,0.0562309864010677,0.599027673309382,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR195_5P",0.577359773555373,0.057054115832651,0.599027673309382,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR15B_5P",0.53833341461849,0.0697326731286203,0.610184731410629,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR6838_5P",0.495303080327254,0.0701691319209897,0.610184731410629,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_ND","MIR15A_5P",0.53445286662236,0.0726615065172905,0.615795837905595,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR649",0.347297204752251,0.00890093824940469,0.465920751700945,0.66017079353416,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR16_5P",0.681708089209366,0.0423057970458598,0.465920751700945,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR195_5P",0.680085313613628,0.0443558493881926,0.465920751700945,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR15B_5P",0.647842166773599,0.0504048293787935,0.465920751700945,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR15A_5P",0.648788829499318,0.0508621934397554,0.465920751700945,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"decoupleR_min15_max500","T2D_vs_PD","MIR6838_5P",0.59103810841987,0.0526540738200595,0.465920751700945,0.737822212483974,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_ND","hsa-miR-15b-5p",-0.0395255714520064,0.288673222839903,0.658099325165507,0.658099325165507,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_ND","hsa-miR-15a-5p",0.00997971733231395,0.647719732436346,0.861627174938473,0.861627174938473,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","PD_vs_ND","hsa-miR-15b-5p",-0.0690461964530726,0.0813759180094612,0.967475674472674,0.967475674472674,"lower_in_PD",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","PD_vs_ND","hsa-miR-15a-5p",0.0313830566916229,0.175837513331195,0.967475674472674,0.967475674472674,"higher_in_PD",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_PD","hsa-miR-15a-5p",-0.0214033393593089,0.379886806571991,0.867463877993143,0.867463877993143,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model1_GTEx_pancreas","T2D_vs_PD","hsa-miR-15b-5p",0.0295206250010662,0.474260213251708,0.904451999608346,0.904451999608346,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-195",-0.0164924865394682,0.0105573232893093,0.196678186713741,0.196678186713741,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-15a",-0.029446662281436,0.0233158861770315,0.280356183153193,0.280356183153193,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-16-2",0.00787855812866844,0.204942212147463,0.630994785375131,0.630994785375131,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-16-1",0.000888444719275405,0.832235010392724,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-15b",0.00458287976985439,0.881142457364898,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-6838",1.59341285688175e-06,0.959723547110511,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-15a",-0.00885592679926273,0.502769509583227,1,1,"lower_in_PD",TRUE,FALSE
